id_solicitud,fecha_solicitud,departamento,zona,tipo_beneficio,canal,nivel_educativo_tutor,num_personas_hogar,ingreso_hogar,puntaje_focalizacion,estado_solicitud,gestor_asignado,tiempo_ciclo_dias,fecha_decision,fecha_entrega,costo_atencion,costo_beneficio,permanencia_escolar,transito_educacion_superior,ingreso_hogar_posterior,satisfaccion_servicio
SOL-00020,2026-02-16,Bolívar,Rural,Computador,Presencial,Tecnico,6,1565000,35.9,Aprobada,Gestor_08,5,2026-02-21,2026-03-05,24200,1059000.0,1.0,1.0,,4.0
SOL-00021,2026-05-22,Cesar,Urbano,Plan_movil,Presencial,Secundaria,6,956000,55.1,Aprobada,Gestor_15,27,2026-06-18,2026-06-22,32500,231800.0,1.0,0.0,1127000.0,3.0
SOL-00022,2026-04-13,Atlántico,Urbano,Computador,Digital,Secundaria,8,951000,64.6,Rechazada,Gestor_12,8,2026-04-21,,13800,,1.0,0.0,1004000.0,
SOL-00023,2026-03-09,Bolívar,Urbano,Computador,Digital,Universitario,8,1572000,41.2,Rechazada,Gestor_14,12,2026-03-21,,7700,,1.0,0.0,1831000.0,
SOL-00024,2025-05-26,Bolívar,Urbano,Plan_movil,Digital,Tecnico,3,1454000,55.0,Rechazada,Gestor_15,7,2025-06-02,,15000,,,0.0,1514000.0,
SOL-00025,2026-03-16,Magdalena,Rural,Computador,Digital,Universitario,8,1592000,31.2,Rechazada,Gestor_11,10,2026-03-26,,18200,,,,1843000.0,
SOL-00026,2026-04-12,Sucre,Urbano,Plan_movil,Digital,Secundaria,3,891000,71.2,Aprobada,Gestor_15,3,2026-04-15,2026-04-16,24800,246000.0,1.0,0.0,1132000.0,3.0
SOL-00027,2025-10-11,atlántico,Urbano,Computador,Presencial,Secundaria,7,1331000,57.5,Rechazada,Gestor_05,23,2025-11-03,,39400,,1.0,0.0,1426000.0,
SOL-00028,2026-01-27,Cesar,Rural,Computador,Presencial,Primaria,8,872000,64.7,Aprobada,Gestor_14,24,2026-02-20,2026-02-26,31700,1086600.0,,0.0,982000.0,5.0
SOL-00029,2025-09-24,Cesar,Urbano,Internet,Presencial,Tecnico,5,1203000,60.4,Rechazada,Gestor_09,8,2025-10-02,,31900,,1.0,1.0,1183000.0,
SOL-00030,2025-11-15,Atlántico,Rural,Beca,Presencial,Primaria,3,609000,79.3,Rechazada,Gestor_04,28,2025-12-13,,41500,,1.0,,648000.0,
SOL-00031,2025-02-14,Cesar,Urbano,Computador,Digital,Secundaria,5,1272000,47.7,Aprobada,Gestor_08,7,2025-02-21,2025-03-10,16500,1107300.0,0.0,0.0,1650000.0,3.0
SOL-00032,2025-02-07,Atlántico,Rural,Plan_movil,Digital,Secundaria,2,1143000,72.5,Aprobada,Gestor_12,5,2025-02-12,2025-02-15,16600,262700.0,0.0,1.0,1328000.0,4.0
SOL-00033,2025-02-23,Atlántico,Urbano,Plan_movil,Presencial,Secundaria,3,1020000,54.1,Aprobada,Gestor_14,7,2025-03-02,2025-03-05,35700,209500.0,1.0,0.0,1190000.0,4.0
SOL-00034,2025-02-13,Norte de Santander,Urbano,Internet,Presencial,Secundaria,2,1378000,55.8,Aprobada,Gestor_03,4,2025-02-17,2025-02-18,29500,397400.0,1.0,1.0,1756000.0,4.0
SOL-00035,2026-06-17,norte de santander,Rural,Computador,Digital,Primaria,4,713000,83.2,Aprobada,Gestor_05,8,2026-06-25,2026-07-03,19600,1189900.0,0.0,0.0,927000.0,4.0
SOL-00036,2026-06-09,Sucre,Rural,Computador,Digital,Secundaria,5,1118000,70.9,Rechazada,Gestor_15,7,2026-06-16,,11200,,0.0,0.0,,
SOL-00037,2025-06-03,Bolívar,Rural,Biblioteca_digital,Presencial,Secundaria,4,1172000,52.0,Aprobada,Gestor_08,12,2025-06-15,2025-06-16,30700,55000.0,0.0,1.0,1375000.0,3.0
SOL-00038,2026-01-25,  Atlántico  ,Urbano,Biblioteca_digital,Digital,Universitario,3,1195000,41.8,Aprobada,Gestor_15,3,2026-01-28,2026-01-29,17900,60100.0,0.0,0.0,1262000.0,3.0
SOL-00039,2025-08-20,La Guajira,Rural,Beca,Presencial,Tecnico,2,1370000,52.0,Rechazada,Gestor_10,21,2025-09-10,,34300,,0.0,0.0,1452000.0,
SOL-00040,2025-04-27,Magdalena,Rural,Plan_movil,Digital,Universitario,3,1677000,23.6,Aprobada,Gestor_12,10,2025-05-07,2025-05-11,15000,195800.0,1.0,0.0,1984000.0,3.0
SOL-00041,2025-12-21,Atlántico,Urbano,Computador,Digital,Tecnico,4,1077000,43.0,Rechazada,Gestor_07,9,2025-12-30,,11200,,1.0,1.0,1121000.0,
SOL-00042,2025-09-13,Magdalena,Rural,Computador,Presencial,Secundaria,3,1246000,72.1,Aprobada,Gestor_01,19,2025-10-02,2025-10-17,23900,954200.0,1.0,0.0,1342000.0,4.0
SOL-00043,2026-01-25,Atlántico,Rural,Computador,Presencial,Primaria,7,994000,62.5,Aprobada,Gestor_12,15,2026-02-09,2026-02-14,28300,831900.0,1.0,0.0,1055000.0,3.0
SOL-00044,2025-07-14,Córdoba,Urbano,Internet,Digital,Secundaria,6,1210000,71.0,Aprobada,Gestor_04,8,2025-07-22,2025-07-26,19500,376600.0,,0.0,1476000.0,4.0
SOL-00045,2025-03-16,Bolívar,Urbano,Computador,Presencial,Secundaria,4,792000,66.8,Rechazada,Gestor_02,10,2025-03-26,,32900,,,0.0,853000.0,
SOL-00046,2025-07-22,La Guajira,Urbano,Biblioteca_digital,Presencial,Secundaria,3,1004000,64.1,Aprobada,Gestor_02,18,2025-08-09,2025-08-10,25800,57500.0,0.0,,1146000.0,5.0
SOL-00047,2025-09-21,Bolívar,Urbano,Plan_movil,Digital,Secundaria,2,1260000,61.1,Aprobada,Gestor_13,11,2025-10-02,2025-10-07,15800,245400.0,1.0,0.0,1277000.0,3.0
SOL-00048,2025-12-13,Cesar,Urbano,Computador,Presencial,Secundaria,3,760000,75.8,Rechazada,Gestor_15,15,2025-12-28,,23700,,1.0,1.0,,
SOL-00049,2025-12-28,Cesar,Urbano,Internet,Presencial,Secundaria,2,931000,76.9,Rechazada,Gestor_07,11,2026-01-08,,25800,,,0.0,942000.0,
SOL-00050,2025-05-10,Atlántico,Urbano,Beca,Digital,Secundaria,6,1180000,55.1,Aprobada,Gestor_12,10,2025-05-20,2025-05-28,17500,1895000.0,,,1189000.0,5.0
SOL-00051,2025-03-07,Norte de Santander,Urbano,Plan_movil,Presencial,Primaria,3,536000,79.9,Rechazada,Gestor_12,10,2025-03-17,,41200,,,0.0,602000.0,
SOL-00052,2025-10-14,Sucre�,Urbano,Computador,Presencial,Tecnico,8,1042000,60.0,Rechazada,Gestor_03,16,2025-10-30,,30000,,1.0,0.0,1149000.0,
SOL-00053,2025-01-11,Norte de Santander,Rural,Computador,Presencial,Primaria,8,1095000,68.7,Rechazada,Gestor_03,13,2025-01-24,,23000,,0.0,0.0,1156000.0,
SOL-00054,2026-02-27,Córdoba,Rural,Computador,Presencial,Primaria,6,848000,76.9,Aprobada,Gestor_15,18,2026-03-17,2026-03-24,30200,918400.0,0.0,0.0,845000.0,3.0
SOL-00055,2025-08-19,Cesar,Urbano,Beca,Digital,Secundaria,4,1219000,68.0,Aprobada,Gestor_06,11,2025-08-30,2025-09-06,15000,2523500.0,1.0,1.0,,4.0
SOL-00056,2025-03-02,Norte de Santander,Rural,Computador,Digital,Secundaria,2,1214000,43.9,Aprobada,Gestor_06,4,2025-03-06,2025-03-15,8900,759600.0,1.0,0.0,1399000.0,4.0
SOL-00057,2025-08-30,Atlántico,Urbano,Beca,Digital,Secundaria,8,1419000,66.6,Rechazada,Gestor_01,8,2025-09-07,,13900,,1.0,0.0,1495000.0,
SOL-00058,2025-10-09,Atlántico,Urbano,Biblioteca_digital,Presencial,Secundaria,7,1208000,51.3,Aprobada,Gestor_15,14,2025-10-23,2025-10-24,42900,35500.0,1.0,0.0,1390000.0,4.0
SOL-00059,2025-12-25,Atlántico,Urbano,Beca,Presencial,Secundaria,4,1271000,61.5,Rechazada,Gestor_15,12,2026-01-06,,29800,,0.0,0.0,,
SOL-00060,2026-03-01,Bolívar,Urbano,Computador,Digital,Secundaria,2,998000,69.2,Aprobada,Gestor_15,10,2026-03-11,2026-04-01,12300,875900.0,1.0,0.0,1134000.0,3.0
SOL-00061,2025-07-13,Magdalena,Rural,Biblioteca_digital,Digital,Universitario,6,1716000,10.9,Rechazada,Gestor_01,6,2025-07-19,,17400,,,0.0,1944000.0,
SOL-00062,2026-06-04,Bolívar,Rural,Internet,Digital,Universitario,8,1628000,36.3,Rechazada,Gestor_11,8,2026-06-12,,20800,,,1.0,1487000.0,
SOL-00063,2025-07-31,Córdoba,Urbano,Plan_movil,Digital,Secundaria,5,1113000,76.3,Rechazada,Gestor_06,6,2025-08-06,,14700,,1.0,0.0,1250000.0,
SOL-00064,2026-05-06,BolÃ­var,Urbano,Beca,Presencial,Secundaria,3,1110000,55.7,Aprobada,Gestor_07,28,2026-06-03,2026-06-10,31200,2293500.0,1.0,0.0,1298000.0,3.0
SOL-00065,2025-03-14,Bolívar,Urbano,Internet,Presencial,Tecnico,6,1303000,49.6,Aprobada,Gestor_09,22,2025-04-05,2025-04-08,31600,354200.0,,0.0,1549000.0,2.0
SOL-00066,2026-03-08,Cesar,Urbano,Beca,Digital,Primaria,2,861000,85.7,Aprobada,Gestor_04,11,2026-03-19,2026-03-26,15600,2294800.0,0.0,1.0,963000.0,5.0
SOL-00067,2026-06-09,Atlántico,Urbano,Internet,Digital,Secundaria,2,1241000,47.3,Rechazada,Gestor_14,1,2026-06-10,,21400,,0.0,0.0,1275000.0,
SOL-00068,2026-01-20,Sucre,Urbano,Biblioteca_digital,Presencial,Secundaria,2,900000,66.1,Aprobada,Gestor_10,12,2026-02-01,2026-02-03,31800,36900.0,,0.0,914000.0,4.0
SOL-00069,2025-07-15,Atlántico,Rural,Plan_movil,Presencial,Universitario,2,1555000,38.2,Rechazada,Gestor_06,17,2025-08-01,,27800,,,0.0,1573000.0,
SOL-00070,2025-11-06,Norte de Santander,Rural,Computador,Presencial,Primaria,3,868000,80.1,Aprobada,Gestor_12,13,2025-11-19,2025-12-05,21900,932300.0,1.0,0.0,1009000.0,4.0
SOL-00071,2026-02-28,Sucre,Urbano,Internet,Presencial,Secundaria,4,939000,60.7,Rechazada,Gestor_03,15,2026-03-15,,34900,,1.0,0.0,1093000.0,
SOL-00072,2025-06-29,Atlantico,Rural,Plan_movil,Presencial,Tecnico,7,1514000,37.0,Rechazada,Gestor_13,13,2025-07-12,,33900,,1.0,0.0,1607000.0,
SOL-00073,2026-03-26,Atlántico,Urbano,Plan_movil,Digital,Secundaria,5,1085000,71.1,Aprobada,Gestor_13,4,2026-03-30,2026-04-04,11300,285800.0,1.0,0.0,1097000.0,3.0
SOL-00074,2026-04-13,Sucre,Urbano,Plan_movil,Digital,Primaria,3,1198000,75.3,Rechazada,Gestor_11,9,2026-04-22,,17700,,1.0,0.0,1242000.0,
SOL-00075,2025-05-26,La Guajira,Urbano,Internet,Digital,Universitario,2,1609000,22.8,Aprobada,Gestor_04,2,2025-05-28,2025-06-01,15600,327400.0,1.0,0.0,1739000.0,5.0
SOL-00076,2026-02-03,Sucre,Urbano,Plan_movil,Digital,Secundaria,3,1275000,57.5,Aprobada,Gestor_09,8,2026-02-11,2026-02-14,18600,288300.0,1.0,0.0,1438000.0,4.0
SOL-00077,2026-03-24,Sucre,Rural,Biblioteca_digital,Presencial,Secundaria,6,1153000,62.9,Aprobada,Gestor_14,16,2026-04-09,2026-04-09,32000,53400.0,0.0,0.0,1318000.0,4.0
SOL-00078,2026-03-26,Atlántico,Urbano,Internet,Digital,Primaria,7,1213000,62.5,Rechazada,Gestor_14,9,2026-04-04,,15800,,0.0,0.0,1461000.0,
SOL-00079,2025-11-03,Bolívar,Urbano,Computador,Digital,Secundaria,2,944000,60.1,Aprobada,Gestor_01,7,2025-11-10,2025-12-04,21300,952400.0,1.0,,1103000.0,3.0
SOL-00080,2025-10-01,Atlántico,Urbano,Internet,Digital,Secundaria,5,1036000,56.7,Rechazada,Gestor_05,3,2025-10-04,,20200,,,,1110000.0,
SOL-00081,2026-05-29,Córdoba,Urbano,Computador,Digital,Primaria,2,645000,85.7,Aprobada,Gestor_15,3,2026-06-01,2026-06-13,14300,1090700.0,1.0,0.0,758000.0,5.0
SOL-00082,2026-05-14,La Guajira,Rural,Internet,Presencial,Primaria,7,928000,60.0,Aprobada,Gestor_15,2,2026-05-16,2026-05-18,29300,325300.0,1.0,0.0,,4.0
SOL-00083,2025-04-01,Bolívar,Urbano,Beca,Digital,Tecnico,5,1116000,52.5,Aprobada,Gestor_11,1,2025-04-02,2025-04-07,18600,2613400.0,1.0,0.0,1419000.0,4.0
SOL-00084,2025-09-21,Atlántico,Urbano,Plan_movil,Presencial,Primaria,7,553000,86.3,Rechazada,Gestor_07,13,2025-10-04,,41100,,1.0,0.0,593000.0,
SOL-00085,2025-05-08,Bolívar,Urbano,Internet,Presencial,Primaria,5,618000,60.3,Aprobada,Gestor_03,19,2025-05-27,2025-05-29,33700,408300.0,,0.0,687000.0,4.0
SOL-00086,2025-01-26,Bolívar,Urbano,Computador,Presencial,Secundaria,4,843000,46.3,Aprobada,Gestor_15,12,2025-02-07,2025-02-15,36400,1156100.0,0.0,1.0,1002000.0,4.0
SOL-00087,2025-08-18,Sucre,Urbano,Internet,Presencial,Tecnico,8,1343000,59.3,Aprobada,Gestor_02,18,2025-09-05,2025-09-09,41900,360500.0,1.0,0.0,1694000.0,4.0
SOL-00088,2025-09-06,La Guajira,Urbano,Internet,Presencial,Primaria,4,825000,67.8,Aprobada,Gestor_13,12,2025-09-18,2025-09-20,41600,386100.0,0.0,0.0,961000.0,4.0
SOL-00089,2026-05-20,Córdoba,Urbano,Computador,Presencial,Secundaria,3,756000,84.8,Aprobada,Gestor_11,9,2026-05-29,2026-06-07,33600,861800.0,1.0,0.0,858000.0,5.0
SOL-00090,2025-05-23,Magdalena,Rural,Plan_movil,Presencial,Primaria,3,838000,60.6,Aprobada,Gestor_02,8,2025-05-31,2025-06-02,36000,310900.0,0.0,1.0,954000.0,5.0
SOL-00091,2025-04-28,Atlántico,Rural,Biblioteca_digital,Presencial,Primaria,5,762000,76.4,Aprobada,Gestor_01,9,2025-05-07,2025-05-08,26100,60900.0,1.0,1.0,915000.0,3.0
SOL-00092,2026-01-27,La Guajira,Rural,Computador,Presencial,Primaria,2,707000,74.8,Aprobada,Gestor_05,15,2026-02-11,2026-02-23,31700,976200.0,0.0,0.0,832000.0,5.0
SOL-00093,2025-07-12,Sucre,Urbano,Internet,Digital,Tecnico,8,1581000,43.3,Aprobada,Gestor_13,1,2025-07-13,2025-07-13,13000,357600.0,1.0,0.0,1827000.0,3.0
SOL-00094,2025-10-16,Cesar,Urbano,Internet,Digital,Primaria,6,1040000,78.7,Aprobada,Gestor_03,9,2025-10-25,2025-10-28,13800,267900.0,1.0,0.0,1164000.0,5.0
SOL-00095,2026-06-13,Sucre�,Urbano,Biblioteca_digital,Digital,Primaria,6,1063000,79.2,Aprobada,Gestor_11,5,2026-06-18,2026-06-18,13300,40700.0,,,1235000.0,4.0
SOL-00096,2025-03-26,Magdalena,Rural,Internet,Digital,Secundaria,2,1125000,58.7,Aprobada,Gestor_12,8,2025-04-03,2025-04-08,19700,312800.0,,,1133000.0,4.0
SOL-00097,2025-09-25,Cesar,Urbano,Plan_movil,Presencial,Tecnico,2,1421000,36.9,Rechazada,Gestor_07,23,2025-10-18,,21400,,,0.0,1629000.0,
SOL-00098,2025-02-12,Magdalena,Urbano,Biblioteca_digital,Presencial,Secundaria,4,942000,68.4,Aprobada,Gestor_01,10,2025-02-22,2025-02-23,41100,59300.0,1.0,0.0,,4.0
SOL-00099,2025-10-22,Atlántico,Urbano,Internet,Presencial,Secundaria,6,933000,65.0,Rechazada,Gestor_09,13,2025-11-04,,31700,,1.0,0.0,,
SOL-00100,2025-10-11,Atlántico,Urbano,Internet,Digital,Primaria,5,848000,75.9,Aprobada,Gestor_14,7,2025-10-18,2025-10-19,19700,360000.0,0.0,0.0,938000.0,4.0
SOL-00101,2025-08-31,Atlántico,Urbano,Beca,Digital,Secundaria,7,1159000,64.8,Rechazada,Gestor_02,12,2025-09-12,,15500,,0.0,,1283000.0,
SOL-00102,2026-03-31,La Guajira,Urbano,Computador,Presencial,Secundaria,3,1232000,66.2,Rechazada,Gestor_08,12,2026-04-12,,29000,,1.0,0.0,1441000.0,
SOL-00103,2025-01-13,Bolívar,Rural,Internet,Presencial,Secundaria,7,1045000,53.9,Rechazada,Gestor_10,15,2025-01-28,,35500,,0.0,0.0,1133000.0,
SOL-00104,2025-03-25,Magdalena,Urbano,Plan_movil,Digital,Secundaria,4,875000,64.5,Rechazada,Gestor_04,8,2025-04-02,,16100,,1.0,1.0,959000.0,
SOL-00105,2026-01-25,Córdoba,Urbano,Computador,Presencial,Secundaria,6,1226000,55.6,Aprobada,Gestor_06,8,2026-02-02,2026-02-15,33100,914200.0,0.0,0.0,1350000.0,4.0
SOL-00106,2026-02-18,Bolívar,Urbano,Beca,Presencial,Primaria,8,539000,81.4,Aprobada,Gestor_09,16,2026-03-06,2026-03-15,27000,2455100.0,1.0,,706000.0,5.0
SOL-00107,2025-12-24,Magdalena,Urbano,Plan_movil,Digital,Secundaria,2,1093000,58.5,Aprobada,Gestor_07,9,2026-01-02,2026-01-06,19200,217800.0,1.0,0.0,1223000.0,5.0
SOL-00108,2026-04-09,Sucre,Urbano,Computador,Digital,Primaria,8,834000,79.9,Aprobada,Gestor_15,5,2026-04-14,2026-04-27,10300,780000.0,,,952000.0,4.0
SOL-00109,2025-11-27,Bolívar,Rural,Computador,Digital,Tecnico,8,1294000,41.5,Rechazada,Gestor_08,8,2025-12-05,,16300,,,0.0,,
SOL-00110,2025-12-20,Atlántico,Urbano,Computador,Presencial,Universitario,6,1306000,35.3,Aprobada,Gestor_15,11,2025-12-31,2026-01-13,38400,1206800.0,,0.0,1673000.0,3.0
SOL-00111,2026-02-28,bolívar,Rural,Internet,Digital,Universitario,5,1562000,22.2,Rechazada,Gestor_07,4,2026-03-04,,12200,,1.0,0.0,1673000.0,
SOL-00112,2025-04-20,Atlántico,Urbano,Plan_movil,Digital,Tecnico,4,1575000,45.3,Aprobada,Gestor_02,8,2025-04-28,2025-05-01,9000,261500.0,1.0,,1908000.0,4.0
SOL-00113,2025-01-31,Norte de Santander,Urbano,Computador,Digital,Secundaria,2,1132000,67.8,Aprobada,Gestor_09,4,2025-02-04,2025-02-10,18300,911400.0,1.0,0.0,1231000.0,4.0
SOL-00114,2025-05-08,Sucre,Rural,Beca,Digital,Tecnico,7,1482000,48.7,Rechazada,Gestor_15,10,2025-05-18,,17400,,0.0,,1599000.0,
SOL-00115,2026-03-19,La Guajira,Urbano,Plan_movil,Digital,Secundaria,5,898000,61.5,Aprobada,Gestor_01,11,2026-03-30,2026-04-05,25800,199300.0,1.0,,978000.0,3.0
SOL-00116,2025-08-28,CÓRDOBA,Urbano,Internet,Digital,Secundaria,7,1042000,74.4,Aprobada,Gestor_14,10,2025-09-07,2025-09-11,16800,313400.0,0.0,0.0,1129000.0,4.0
SOL-00117,2025-05-21,Sucre,Urbano,Internet,Presencial,Secundaria,3,1054000,68.2,Aprobada,Gestor_02,17,2025-06-07,2025-06-13,35100,386400.0,0.0,,1259000.0,3.0
SOL-00118,2026-05-12,Atl�ntico,Urbano,Computador,Presencial,Secundaria,4,1065000,66.8,Rechazada,Gestor_03,20,2026-06-01,,31400,,1.0,1.0,1083000.0,
SOL-00119,2025-01-17,Córdoba,Rural,Plan_movil,Presencial,Tecnico,5,1382000,50.3,Rechazada,Gestor_03,11,2025-01-28,,24700,,0.0,0.0,1366000.0,
SOL-00120,2025-08-06,Cesar,Urbano,Biblioteca_digital,Digital,Secundaria,5,1074000,66.3,Rechazada,Gestor_14,13,2025-08-19,,26600,,1.0,0.0,1229000.0,
SOL-00121,2025-12-28,Sucre,Rural,Computador,Digital,Secundaria,7,832000,73.3,Aprobada,Gestor_10,6,2026-01-03,2026-01-14,20000,1055200.0,1.0,0.0,884000.0,4.0
SOL-00122,2025-05-08,C�rdoba,Rural,Plan_movil,Presencial,Universitario,2,1682000,26.7,Aprobada,Gestor_04,19,2025-05-27,2025-05-31,32700,222000.0,1.0,0.0,2201000.0,5.0
SOL-00123,2025-09-29,Bolívar,Urbano,Computador,Presencial,Primaria,3,928000,83.1,Aprobada,Gestor_05,18,2025-10-17,2025-10-25,40400,691400.0,1.0,0.0,1142000.0,5.0
SOL-00124,2025-02-19,Atlántico,Rural,Beca,Digital,Secundaria,7,1271000,62.9,Aprobada,Gestor_06,7,2025-02-26,2025-03-08,9500,2905900.0,1.0,,1640000.0,4.0
SOL-00125,2026-05-22,Bolívar,Urbano,Beca,Presencial,Universitario,5,1793000,26.9,Rechazada,Gestor_01,12,2026-06-03,,37000,,1.0,0.0,1763000.0,
SOL-00126,2025-02-08,Magdalena,Rural,Plan_movil,Presencial,Secundaria,4,1166000,59.2,Rechazada,Gestor_14,12,2025-02-20,,34800,,,0.0,1281000.0,
SOL-00127,2026-04-24,Sucre,Urbano,Beca,Presencial,Secundaria,5,908000,61.8,Aprobada,Gestor_13,28,2026-05-22,2026-05-30,30700,2501500.0,1.0,0.0,1048000.0,3.0
SOL-00128,2025-10-12,Córdoba,Urbano,Beca,Presencial,Primaria,6,662000,68.1,Aprobada,Gestor_08,18,2025-10-30,2025-11-07,27500,2212900.0,1.0,1.0,807000.0,3.0
SOL-00129,2025-09-18,Atlántico,Urbano,Computador,Digital,Secundaria,4,1015000,66.9,Aprobada,Gestor_06,4,2025-09-22,2025-10-07,12900,990400.0,1.0,1.0,1100000.0,4.0
SOL-00130,2025-10-02,Cesar,Urbano,Beca,Presencial,Tecnico,4,1473000,44.2,Aprobada,Gestor_10,17,2025-10-19,2025-10-25,33000,2491400.0,,0.0,,4.0
SOL-00131,2025-12-09,Magdalena,Urbano,Plan_movil,Presencial,Secundaria,5,1214000,60.7,Aprobada,Gestor_09,21,2025-12-30,2025-12-30,32900,292800.0,1.0,,1445000.0,3.0
SOL-00132,2025-03-29,Bolívar,Rural,Beca,Digital,Secundaria,2,1066000,70.9,Aprobada,Gestor_05,7,2025-04-05,2025-04-15,8400,2770100.0,1.0,0.0,1193000.0,4.0
SOL-00133,2025-02-01,Atlántico,Urbano,Computador,Presencial,Primaria,4,839000,76.0,Aprobada,Gestor_07,13,2025-02-14,2025-02-26,20600,1028100.0,1.0,0.0,836000.0,4.0
SOL-00134,2025-05-21,Bolívar,Urbano,Internet,Presencial,Primaria,6,1061000,87.4,Rechazada,Gestor_11,20,2025-06-10,,35500,,,0.0,1193000.0,
SOL-00135,2025-05-06,Norte de Santander,Rural,Internet,Digital,Universitario,7,1681000,25.8,Aprobada,Gestor_04,10,2025-05-16,2025-05-18,12000,363500.0,1.0,0.0,1886000.0,4.0
SOL-00136,2026-03-01,Bolívar,Urbano,Plan_movil,Digital,Secundaria,2,1130000,51.2,Rechazada,Gestor_06,10,2026-03-11,,21400,,1.0,,1099000.0,
SOL-00137,2026-03-07,Cesar,Rural,Beca,Presencial,Secundaria,2,1007000,57.7,Aprobada,Gestor_06,8,2026-03-15,2026-03-18,35400,2709900.0,1.0,0.0,1100000.0,4.0
SOL-00138,2025-11-04,La Guajira,Rural,Internet,Presencial,Primaria,2,834000,52.5,Rechazada,Gestor_13,14,2025-11-18,,26000,,1.0,,912000.0,
